GrossAction,GrossAdventure,GrossAnimation,Gross Comedy,GrossCrime,GrossDocumentary,GrossDrama,GrossFamily,GrossFantasy,GrossFilm-Noir,GrossHistory,GrossHorror,GrossMusic,GrossMystery,GrossRomance,GrossSci-Fi,GrossSport,GrossThriller,GrossWar,GrossWestern
193996.5264,47607312.88,71755070.9,47711830.29,15996747.61,23198.60102,47552399.49,18673295.84,21184481.93,,12631590.02,1930317.46,2003622.798,5872154.245,8913338.29,16597690.29,23644452.41,52519467,17679625.9,19079027.73
212549.2508,44582893.52,50214529.3,69192735.91,39681702.62,141719.958,20661893.2,64411908.82,1374181.712,,57435545.29,5763419.146,33898239.88,7326227.821,38767340.68,71755070.9,27699817.57,42490125.87,32482776.97,1161026.994
242920.5654,30906784.29,86681473.98,85484982.98,12406795,160376.4649,1374181.712,47711830.29,17647062.68,,3730368.098,12852370.5,8437998.334,444840.3366,1574218.527,23065.52429,82891899.12,6386391.804,19328393.77,35059517.53
311464.4282,31557568.51,22161275.87,87531229.97,2664970.95,1897792.234,76323413.22,69192735.91,96380023.63,,34085189.52,11583645.71,5868828.559,158430.7742,8717395.24,38173649.55,17679625.9,467602.5923,29573603.26,8943545.082
334772.0373,117360102.5,85630329.99,18004226.21,8332305.181,1340.364187,28707333.19,87531229.97,27699817.57,,19079027.73,11706464.06,2177112.514,6507769.159,23013062.49,17248069.26,19328393.77,37813593.02,24679690.18,5852163.276
500668.8623,79819166.28,115412132.3,36723974.24,27360617.05,5042.541051,23644452.41,32135518.77,18673295.84,,20131780.56,59764584.21,28556323.66,17172566.77,22320708.66,21966271.46,24679690.18,13878913.53,101767100.1,146903207.5
579474.0629,59026241.1,69054695.35,33810361.12,57025917.41,6018.344006,700433.6944,36723974.24,47711830.29,,146903207.5,44859445.31,65956263.12,16985191.33,2140550.055,21930936.95,32135518.77,12302908.5,50977865.64,1155216.068
581267.0383,77766839.47,1126514.247,223976622.3,14126933.47,117907.5134,66786404.85,156278085,51758233.17,,38767340.68,97612197.95,1127459.61,77499912.23,27082334.13,23855314.3,63187604.88,51342479.18,39065637.02,26050133.46
653550.1019,95861501.67,37661965.52,8714273.886,56375063.69,176836.154,25639188.89,33810361.12,87531229.97,,20233828.34,5843929.863,21486917.46,29832295.44,39848446.49,6751233.052,20083118.9,27046573.51,20083118.9,57416315.8
760132.2417,70429413.71,578305.5383,29750.35109,7568573.822,243090.0869,60629432.15,223976622.3,36723974.24,,8383590.338,84443897.05,14493909.5,124737.8269,50999888.52,125710882.1,25677560.74,21671565.09,48790470.13,31206.59548
787238.9569,26660838.37,34756714.45,7483396.556,30333426.76,475039.6899,29573603.26,8714273.886,156278085,,500668.8623,1319890.672,4693511.38,9053969.613,27167197.45,15783105.59,33810361.12,2304751.16,64975601.69,6958597.633
856109.6797,77874404.77,109539249.6,11298094.98,1237685.236,109728.4004,124183385.5,8833628.038,88605881.84,,4580735.613,9059461.098,23906.74062,62829676.14,17314248.01,32594176.44,48790470.13,1730569.144,5319914.907,8383590.338
