GrossAction,GrossAdventure,GrossAnimation,GrossComedy,GrossCrime,GrossDocumentary,GrossDrama,GrossFamily,GrossFantasy,GrossFilm-Noir,GrossHistory,GrossHorror,GrossMusic,GrossMusical,GrossMystery,GrossRomance,GrossSci-Fi,GrossSport,GrossThriller,GrossWar,GrossWestern
32135518.77,32135518.77,32135518.77,,,,,32135518.77,,,,,,,,,32135518.77,,,,
50977865.64,50977865.64,,,,,50977865.64,,,,,,,,,,,,50977865.64,,
63187604.88,63187604.88,,,,,,,,,,,,,,,63187604.88,,,,
,48321854.3,,,,,48321854.3,,,,48321854.3,,,,,,,,,48321854.3,
39065637.02,,,,,,39065637.02,,,,,,,,,,,,39065637.02,39065637.02,
,,,,,,,,,,,20083118.9,,,,,20083118.9,,20083118.9,,
,,,18004226.21,,,18004226.21,,,,,,,,,,,,,,
,36723974.24,36723974.24,36723974.24,,,,36723974.24,36723974.24,,,,,,,,,,,,
,,156278085,,,,156278085,156278085,156278085,,,,,,,,,,,,
88605881.84,88605881.84,,,,,,,88605881.84,,,,,,,,,,,,
25677560.74,,,,,,,,,,,,,,,,25677560.74,25677560.74,,,
,,,,,,22303394.17,,,,,,,22303394.17,,22303394.17,,,,,
33810361.12,33810361.12,33810361.12,33810361.12,,,33810361.12,33810361.12,,,,,,,,,33810361.12,,,,
,,,,,,40505699.55,,,,40505699.55,,,,,,,,,40505699.55,
48593351.55,48593351.55,,,,,48593351.55,,48593351.55,,,,,,,,,,,,
,,,,,,66559219.62,,66559219.62,,,,,,,66559219.62,,,,,
,,,,,,79906856.07,,,,,,,,,,,79906856.07,,,
48790470.13,,,,,,,,,,,,,,48790470.13,,48790470.13,,48790470.13,,
92079257.25,92079257.25,,,,,,,,,,,,,,,92079257.25,,,,
,223976622.3,223976622.3,223976622.3,,,,223976622.3,223976622.3,,,,,223976622.3,,223976622.3,,,,,
90894072.16,,,,,,90894072.16,,,,90894072.16,,,,,,,,,90894072.16,
198783288.2,,,,,,,,,,,,,,,,198783288.2,,,,
57582064.09,57582064.09,,,,,,,,,,,,,,,57582064.09,,,,
64975601.69,,,,64975601.69,,64975601.69,,,,,,,,,,,,64975601.69,,
5319914.907,5319914.907,,,,,,,5319914.907,,,,,,,,,,5319914.907,,
3264967.095,,,,,,,,,,,,,,,,,,3264967.095,,
8714273.886,8714273.886,,8714273.886,,,,8714273.886,,,,,,,,,8714273.886,,,,
7282772.519,,,,7282772.519,,7282772.519,,,,,,,,7282772.519,,,,7282772.519,,
71941766.48,,,,,,71941766.48,,,,,,,,,,71941766.48,,71941766.48,,
,,,29750.35109,29750.35109,,29750.35109,,,,,,,,,29750.35109,,,,,
28071674.16,28071674.16,,,,,,,28071674.16,,,,,,,,,,,,
,8833628.038,8833628.038,,,,,8833628.038,8833628.038,,,,,8833628.038,,,,,,,
,,,,,,8680892.288,,,,,8680892.288,,,,8680892.288,,,8680892.288,,
,,,,,,48823019.52,,,,48823019.52,,,,,,,,48823019.52,,
,,,,15632178.71,,15632178.71,,,,,,,,,,,,15632178.71,,
,,,7483396.556,7483396.556,,,,,,,,,,,7483396.556,,,,,
103683958.4,103683958.4,,,,,,,,,,,,,,,103683958.4,,,,
,,,,,,16597690.29,,,,,,,,,16597690.29,,,,,
,,,11298094.98,11298094.98,,11298094.98,,,,,,,,,,,,11298094.98,,
,71755070.9,71755070.9,71755070.9,,,,71755070.9,,,,,,,,71755070.9,,,,,
2356009.747,2356009.747,,,,,,,,,,2356009.747,,,,,2356009.747,,2356009.747,,
47198924.5,47198924.5,,47198924.5,,,,,47198924.5,,,,,,,,,,47198924.5,,
,41114355.2,,,41114355.2,,41114355.2,,,,,,,,,,,,,,41114355.2
83867364.98,83867364.98,,,,,,83867364.98,,,,,,,83867364.98,,,,,,
,,,8886431.118,,,,,,,,,,,,,8886431.118,,,,
,,,,,,23065.52429,,23065.52429,,,,,,23065.52429,23065.52429,,,,,
,,,84996741.53,,,84996741.53,,,,,,,,,,84996741.53,,,,
74211694.56,74211694.56,,,,,,,,,,,,,,,74211694.56,,74211694.56,,
54150296.36,,,,,,54150296.36,,,,,,,,,,,,54150296.36,,
,,,,,,38173649.55,,,,,,,,,38173649.55,,,,,
,,,17248069.26,,,17248069.26,,,,,,,,,17248069.26,,,,,
,,,,2474899.868,,2474899.868,,,,,,,,,,,,,,
,,,,15996747.61,,15996747.61,,,,,,,,,,,,15996747.61,,
39681702.62,,,39681702.62,39681702.62,,,,,,,,,,,,,,39681702.62,,
21966271.46,21966271.46,,,,,,,,,,,,,,21966271.46,,,,,
75544443.86,75544443.86,,,,,,75544443.86,75544443.86,,,,,,,,,,75544443.86,,
,,,,,,21930936.95,,,,,,,,,21930936.95,,,,,21930936.95
23855314.3,23855314.3,,,,,23855314.3,,,,23855314.3,,,,,23855314.3,,,,,
,,,,,,21642366.74,,,,21642366.74,,,,,,,,,,
,50214529.3,50214529.3,50214529.3,,,,50214529.3,50214529.3,,,,,,,,,,,,
,,,,12406795,,12406795,,,,,,,,,,,,,,
,,,,,,6751233.052,,,,,,,,,6751233.052,,6751233.052,,,
,,,,2664970.95,,2664970.95,,2664970.95,,,,,,,,,,,,
,,,,,,8712316.541,,,,,,,,,,,,8712316.541,,
25006034.62,,,,,,25006034.62,,,,,,,,,,,,25006034.62,,
,55994897.67,,55994897.67,,,,,,,,,,,,,55994897.67,,,,
,,,55710192.13,,,,,55710192.13,,,,,,,,,,,,
,,,,,,17016632.92,,,,17016632.92,,,,,,,,,17016632.92,
,,,,,,42286405.85,,,,,,,,,,,,42286405.85,,
,,,,,,55174183.94,,,,,,,,55174183.94,,55174183.94,,55174183.94,,
125710882.1,125710882.1,,,,,125710882.1,,,,,,,,,125710882.1,,,,,
15783105.59,15783105.59,,,,,15783105.59,,,,15783105.59,,,,,15783105.59,,,,15783105.59,
