Year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
2009,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1997,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1999,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1997,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
1996,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2014,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2011,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2004,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2008,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2004,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
1986,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2000,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1997,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1999,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
1978,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
2010,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2010,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
