BudgetAction,BudgetAdventure,BudgetAnimation,Budget Comedy,BudgetCrime,BudgetDocumentary,BudgetDrama,BudgetFamily,BudgetFantasy,BudgetFilm-Noir,BudgetHistory,BudgetHorror,BudgetMusic,BudgetMusical,BudgetMystery,BudgetRomance,BudgetSci-Fi,BudgetSport,BudgetThriller,BudgetWar,BudgetWestern
100760356.9,,,,100760356.9,,100760356.9,,,,,,,,100760356.9,,,,100760356.9,,
,,,103004764.4,,,103004764.4,,,,,,,,,103004764.4,,,,,
238357506.9,238357506.9,,238357506.9,,,,238357506.9,238357506.9,,,,,,,,238357506.9,,,,
,106077258.6,,,,,106077258.6,,,,106077258.6,,,,,,,,,106077258.6,
52225153.37,52225153.37,,,,,,,,,52225153.37,,,,,,,,,,
163803530,163803530,,,,,,,163803530,,,163803530,,,,,,,163803530,,
,,,54933935.63,,,,,54933935.63,,,,,,,,54933935.63,,,,
,67780771.02,,,,,,67780771.02,67780771.02,,,,,,,,,,,,
,,117304909.8,117304909.8,,,,117304909.8,,,,,,,,,,117304909.8,,,
58265168.34,,,,,,,,,,,,,,,,,,58265168.34,,
,,,,,,93433853.54,,,,,,,,93433853.54,93433853.54,,,,,
,,,,,,82068098.16,,,,82068098.16,82068098.16,,,,,,,,,
,,,80294717.89,,,80294717.89,,,,,,,,,,,,,,
54084945.52,54084945.52,,,,,,,,,,,,,,,,,54084945.52,,
48257936.51,48257936.51,,,,,,48257936.51,,,,,,,,,,,48257936.51,,
,,,,,,52787209.41,,,,,,,,,52787209.41,,,,,
66779167.02,,,,,,,,66779167.02,,,,,,,,66779167.02,,66779167.02,,
90694509.18,,,,,,,,,,,,,,,,90694509.18,,90694509.18,,
,,,50847386.76,,,,,,,,,,,,50847386.76,,,,,
,,,,,,54933935.63,,,,,,,,54933935.63,,54933935.63,,54933935.63,,
,,,,56069408.1,,,,,,,,,,56069408.1,,,,56069408.1,,
94807392.46,,,94807392.46,,,,94807392.46,94807392.46,,,,,,,,,,,,
251408741.9,251408741.9,,,,,,,,,,,,,,,,,251408741.9,,
80948796.72,80948796.72,,80948796.72,,,,80948796.72,80948796.72,,,,,,,,80948796.72,,,,
47129134.95,47129134.95,47129134.95,47129134.95,,,,,47129134.95,,,,,,,,,,,,
,83523351.65,83523351.65,,,,,83523351.65,,,,,,,,,,,,,
91807781.65,,,,,,91807781.65,,,,,,,,,,,,91807781.65,,
77507966.86,,,,,,77507966.86,,,,,,,,,,77507966.86,,77507966.86,,
,,,,,,64517700.4,,,,64517700.4,,,,,,,,,64517700.4,
67780771.02,,,,67780771.02,,,,67780771.02,,,,,,,,,,67780771.02,,
,,,,,,89905196.78,,,,,89905196.78,,,,,89905196.78,,89905196.78,,
130499587.3,,,130499587.3,,,,,,,,,,,,130499587.3,,,,,
77212698.41,,,,,,,,,,,,,,,,77212698.41,,,,
140931215,140931215,,,,,,,,,,,,,,,140931215,,,,
,45187180.68,45187180.68,45187180.68,,,,,45187180.68,,,,,,,45187180.68,,,,,
111471188.7,111471188.7,,,,,,,,,,,,,111471188.7,,111471188.7,,111471188.7,,
,79328114.81,79328114.81,79328114.81,,,79328114.81,79328114.81,79328114.81,,,,,,,79328114.81,,,,,
,,,49234817.81,,,,,49234817.81,,,,,,,,,,,,
,,,69342836.78,,,,,,,,,,,,69342836.78,69342836.78,,69342836.78,,
,,,54084945.52,54084945.52,,,,,,,,,,,,,,54084945.52,,
,,,,,,126832515.3,,126832515.3,,,,,,,126832515.3,,,,,
,,,62352475.06,,,62352475.06,62352475.06,62352475.06,,,,,,,,,,,,
,153608171.1,153608171.1,,,,,153608171.1,153608171.1,,,,,,,,,,,,
,,,,,,45187180.68,,,,,,,,,,,,,45187180.68,
50192148.95,,,,,,,,50192148.95,,,,,,,,,,,,50192148.95
104450306.7,,,,,,,,,,,,,,,,,,104450306.7,,
53038629.28,53038629.28,,,,,,,53038629.28,,,,,,,,,,,,
,,,,,,78280858.27,,,,,,78280858.27,,,78280858.27,,,,78280858.27,
,,,55476350.54,,,55476350.54,,,,,,,,,55476350.54,,,,,
,,48492461.06,48492461.06,,,,48492461.06,48492461.06,,,,,48492461.06,,,,,,,
,58906054.81,,,,,58906054.81,,,,,,,,,,,,,,
69757170.17,69757170.17,,69757170.17,,,,,69757170.17,,,,,,,,,,,,
,,,,,,50214822.66,,,,,,,,,50214822.66,,50214822.66,,,
102737180,,,,102737180,,,,,,,,,,,,102737180,,102737180,,
54063305.77,,,,,,,,54063305.77,,,,,,,,,,54063305.77,,
,,,,,,46716926.77,,,,,,,,,,,,,,
,,,,,,62642513.74,,62642513.74,,,,,,,62642513.74,,,,,
128755955.5,128755955.5,,,,,,,,,,,,,,,,,,,128755955.5
50835578.26,,,,50835578.26,,50835578.26,,,,,,,,,,,,50835578.26,50835578.26,
90129168.87,90129168.87,,,,,,,,,,,,,90129168.87,,90129168.87,,90129168.87,,
77670620.44,77670620.44,,77670620.44,,,,,,,,,,,,77670620.44,77670620.44,,,,
,,,,,,84745644.6,,84745644.6,,,,,,,,,84745644.6,,,
113654205.6,,,,,,,,,,,113654205.6,,,,,113654205.6,,,,
,127118466.9,,,,,,,,,,,,,,,127118466.9,,127118466.9,,
,,,94893757.5,,,,94893757.5,,,,,,,,,94893757.5,,,,
,,,,,,,,,,,45257022.81,,,,,45257022.81,,45257022.81,,
,89528834.36,,,,,,89528834.36,89528834.36,,,,89528834.36,89528834.36,,,,,,,
,,,,89230487.02,,89230487.02,,,,,,,,89230487.02,,,,89230487.02,,
52422911.13,,,,,,52422911.13,,52422911.13,,,,,,,,,,52422911.13,,52422911.13
,169451927.5,169451927.5,169451927.5,,,169451927.5,169451927.5,,,,,,,,,,,,,
,,,,,,81127418.28,,81127418.28,,,,,,81127418.28,81127418.28,,,81127418.28,,
,46274733.64,,,,,46274733.64,,,,,,,,,46274733.64,,,,46274733.64,
51015661.42,51015661.42,,,,,,,51015661.42,,,,,,,,51015661.42,,51015661.42,,
89528834.36,,,,89528834.36,,89528834.36,,,,,,,,,,,,89528834.36,,
,,,,66106762.34,,66106762.34,,,,,,,,,,,,66106762.34,,
,45486688.67,,,,,,,,,,45486688.67,,,,,,,45486688.67,,
,,,52885409.87,,,,,,,,,,,,,,,,,
50241139.38,,,,,,,,,,,,,,50241139.38,,,,50241139.38,,
63837270.34,,,,63837270.34,,,,,,,,,,,,,,63837270.34,,
48656975.19,48656975.19,,48656975.19,48656975.19,,,,,,,,,,,,,,,,
74721966.21,74721966.21,,,,,,,,,,74721966.21,,,,,74721966.21,,,,
,,,46504780.11,,,,46504780.11,46504780.11,,,,,,,,,,,,
,,,,,,71816929.13,,,,,,,,,,,,,,
,,,115880360,,,,,,,,,,,,,115880360,,115880360,,
62268305.17,62268305.17,,,62268305.17,,,,,,,,,,,,,,62268305.17,,
113368136.5,,,,113368136.5,,,,,,,,,,,,,,113368136.5,,
,,,45204359.21,,,,,,,,,,,,,,,,,
,,,,56789192.8,,,,,,,56789192.8,,,,,,,56789192.8,,
,,,,,,58396158.46,,,,,,,,,,,,,,
,,,96989570.55,,,96989570.55,,,,,,,,,,,,,,
,84745644.6,,84745644.6,,,84745644.6,,,,,,84745644.6,,,,,,,,
125602848.4,125602848.4,,,,,,,125602848.4,,,,,,,,,,,,
,48022531.94,,,,,48022531.94,,,,,,,,,48022531.94,,,,,
,,,79452502.29,,,79452502.29,,,,,,,79452502.29,,79452502.29,,,,,
,,,69757170.17,,,,,,,,,,,,69757170.17,69757170.17,,,,
226736273,226736273,,,,,,,,,,,,,,,226736273,,,,
,,,,47324327.33,,47324327.33,,,,,,,,47324327.33,,,,47324327.33,,
58522617.9,58522617.9,,,,,58522617.9,,,,58522617.9,,,,,58522617.9,,,,,
68751032.83,,,68751032.83,,,,,68751032.83,,,,,,,,,,,,
74678454.21,,,74678454.21,74678454.21,,74678454.21,,,,,,,,,,,,,,
185098934.6,,,,,,185098934.6,,,,185098934.6,,,,,,,,,185098934.6,
79328114.81,79328114.81,,,,,,,,,,,,,,,79328114.81,,79328114.81,,
69757170.17,,,69757170.17,69757170.17,,69757170.17,,,,,,,,,,,,69757170.17,,
77507966.86,77507966.86,,,,,,,,,,,,,,,77507966.86,,77507966.86,,
,56703075.4,56703075.4,56703075.4,,,,56703075.4,56703075.4,,,,,,,,,,,,
,,,,,,91973949.58,,,,,,,,,,,,,,
,,,,,,38925580.15,,,,,,,,,,,,,38925580.15,
,,,81127418.28,81127418.28,,,,,,,,,,,,,,,,
,,,70985867.9,,,70985867.9,,,,,,,,,70985867.9,,,,,
,,,,76248191.38,,76248191.38,,,,76248191.38,,,,76248191.38,,,,76248191.38,,
,,,,,,37339227.1,,,,,,,,,37339227.1,,,,,
52225153.37,,,52225153.37,,,,,,,,,,,,,,,52225153.37,,
,82113436.87,,,,,,82113436.87,82113436.87,,,,,,,82113436.87,,,,,
,,,,,,38606349.21,,,,,,,,38606349.21,,,,38606349.21,,
50408290.16,,,,,,,,,,,,,,,,50408290.16,,,,
37077834.4,,,,37077834.4,,37077834.4,,,,,,,,,,,,37077834.4,,
,45347254.59,,,,,,,45347254.59,,,,,,45347254.59,,,,,,
,,,44331910.73,,,,,,,,,,,,,,,,,
,,,,,,59469636.35,,,,,,,,59469636.35,,,,59469636.35,,
62501468.43,,,,,,62501468.43,,,,,,,,,,,,62501468.43,62501468.43,
40926442.31,,,,,,40926442.31,,,,,,,,,,40926442.31,,40926442.31,,
,,,,,,37303680.98,,,,,,,,,,,37303680.98,,,
111538108.8,,,,,,,,,,,,,,,111538108.8,,,111538108.8,,
57680632.41,,,57680632.41,57680632.41,,,,,,,,,,,,,,57680632.41,,
,,,,,,54554018.69,,,,,,,,,,54554018.69,,54554018.69,,
,,,51502382.21,,,,,,,,,,,,,,,,,
225935903.4,225935903.4,,,,,,,,,,,,,,,,,,,
72036935.41,,,72036935.41,,,,,,,,,,,,,72036935.41,,,,
,,,,,,55805736.14,,,,55805736.14,,,,,,,,,,
,35497424.45,35497424.45,35497424.45,,,,35497424.45,35497424.45,,,,,,,,,,,,
,70693702.42,,70693702.42,,,,70693702.42,70693702.42,,,,,,,,70693702.42,,,,
,109624399,109624399,109624399,,,,109624399,109624399,,,,,,,,,,,,
,,,,,,57680632.41,,,,,,,,57680632.41,57680632.41,,,57680632.41,,
